stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
AIX-31932,31932,Complexe Sportif,Complexe Sportif,43.573669,5.345238,,,0,,,0,,
AIX-20079,20079,Coopérative,Coopérative,43.57045,5.35642,,,0,,,0,,
AIX-22169,22169,Coopérative,Coopérative,43.570789,5.35479,,,0,,,0,,
AIX-20845,20845,Coq d'Argent,Coq d'Argent,43.521938,5.41829,,,0,,,0,,
AIX-24634,24634,Coq d'Argent,Coq d'Argent,43.521851,5.41877,,,0,,,0,,
AIX-23099,23099,Corsy,Corsy,43.528347,5.429755,,,0,,,0,,
AIX-23523,23523,Corsy,Corsy,43.528164,5.429886,,,0,,,0,,
AIX-20020,20020,Coton Rouge,Coton Rouge,43.513405,5.451934,,,0,,,0,,
AIX-24589,24589,Coton Rouge,Coton Rouge,43.512833,5.452506,,,0,,,0,,
AIX-23685,23685,Country,Country,43.569576,5.418108,,,0,,,0,,
AIX-26637,26637,Country,Country,43.569752,5.418084,,,0,,,0,,
AIX-20815,20815,Courcy,Courcy,43.519485,5.453662,,,0,,,0,,
AIX-22849,22849,Couteron,Couteron,43.597443,5.443172,,,0,,,0,,
AIX-23142,23142,Couteron Eglise,Couteron Eglise,43.599209,5.444508,,,0,,,0,,
AIX-22321,22321,Couton,Couton,43.503273,5.390941,,,0,,,0,,
AIX-21530,21530,Crespi,Crespi,43.553818,5.443665,,,0,,,0,,
AIX-23634,23634,Crespi,Crespi,43.553703,5.443634,,,0,,,0,,
AIX-21234,21234,Croix de Célony,Croix de Célony,43.555439,5.414992,,,0,,,0,,
AIX-21615,21615,Croix de Célony,Croix de Célony,43.555492,5.41498,,,0,,,0,,
AIX-20410,20410,Croix Verte,Croix Verte,43.525379,5.413538,,,0,,,0,,
AIX-21208,21208,Cruyes,Cruyes,43.567177,5.420984,,,0,,,0,,
AIX-22365,22365,Cruyes,Cruyes,43.567181,5.421093,,,0,,,0,,
AIX-20735,20735,Célony Ecole,Célony Ecole,43.556316,5.419759,,,0,,,0,,
AIX-25402,25402,Célony Ecole,Célony Ecole,43.556782,5.419257,,,0,,,0,,
AIX-24519,24519,D 18 Aqueduc,D18 Aqueduc,43.559711,5.450275,,,0,,,0,,
AIX-22489,22489,D 19,D19,43.559025,5.448676,,,0,,,0,,
AIX-22048,22048,D 4,D 4,43.594036,5.455881,,,0,,,0,,
AIX-20366,20366,D 9,D 9,43.581577,5.430247,,,0,,,0,,
AIX-22366,22366,D 9,D09,43.581493,5.430114,,,0,,,0,,
AIX-21236,21236,Dalmas,Dalmas,43.532009,5.430098,,,0,,,0,,
AIX-22450,22450,Dalmas,Dalmas,43.531822,5.430356,,,0,,,0,,
AIX-20368,20368,Daudet,Daudet,43.535141,5.46323,,,0,,,0,,
AIX-25702,25702,Daudet,Daudet,43.53508,5.46343,,,0,,,0,,
AIX-21048,21048,De Broglie,De Broglie,43.490635,5.356171,,,0,,,0,,
AIX-21434,21434,De Broglie,De Broglie,43.490585,5.356274,,,0,,,0,,
AIX-21545,21545,De Gaulle,De Gaulle,43.565449,5.37652,,,0,,,0,,
AIX-23574,23574,De Gaulle,De Gaulle,43.56477,5.37713,,,0,,,0,,
AIX-20286,20286,De Green,De Green,43.487942,5.42096,,,0,,,0,,
AIX-25658,25658,De Green,De Green,43.487907,5.420878,,,0,,,0,,
AIX-21084,21084,De La Molle,De La Molle,43.53067,5.438123,,,0,,,0,,
AIX-21477,21477,De La Molle,De La Molle,43.530128,5.438575,,,0,,,0,,
AIX-23144,23144,De Mazenod,De Mazenod,43.547279,5.445415,,,0,,,0,,
AIX-23636,23636,De Mazenod,De Mazenod,43.547127,5.445478,,,0,,,0,,
AIX-23277,23277,De Regis,De Regis,43.579662,5.41833,,,0,,,0,,
AIX-26385,26385,De Regis,De Regis,43.57946,5.418348,,,0,,,0,,
AIX-23686,23686,Debazac,Debazac,43.51384,5.439627,,,0,,,0,,
AIX-24939,24939,Debazac,Debazac,43.513821,5.439789,,,0,,,0,,
AIX-22196,22196,Deffens,Deffens,43.524399,5.41633,,,0,,,0,,
AIX-25883,25883,Deffens,Deffens,43.524139,5.41641,,,0,,,0,,
AIX-20532,20532,Descartes,Descartes,43.495811,5.347,,,0,,,0,,
AIX-25854,25854,Descartes,Descartes,43.495502,5.347594,,,0,,,0,,
AIX-29180,29180,Desplaces-Sncf,Desplaces-SNCF,43.52356,5.444811,,,0,,,0,,
AIX-22093,22093,Deux Ormes,Deux Ormes,43.531719,5.412964,,,0,,,0,,
AIX-24940,24940,Deux Ormes,Deux Ormes,43.531338,5.413255,,,0,,,0,,
AIX-22194,22194,Dioulouffet,Dioulouffet,43.565872,5.434025,,,0,,,0,,
