shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
100021,43.517159,5.437105,24,
100021,43.515656,5.436278,25,
100021,43.514503,5.438498,26,
100021,43.51384,5.439627,27,
100021,43.513218,5.44167,28,
100021,43.509434,5.440727,29,
100021,43.510098,5.436178,30,
100021,43.509544,5.438199,31,
100041,43.541462,5.454301,1,
100041,43.542938,5.454589,2,
100041,43.543446,5.452607,3,
100041,43.541496,5.452159,4,
100041,43.542431,5.448825,5,
100041,43.542671,5.445756,6,
100041,43.542576,5.442113,7,
100041,43.540882,5.4419,8,
100041,43.539749,5.4425230000000004,9,
100041,43.536469,5.444756,10,
100041,43.534245,5.44563,11,
100041,43.534119,5.445191,12,
100041,43.533997,5.442999,13,
100041,43.533115,5.440185,14,
100041,43.53067,5.438123,15,
100041,43.528625,5.440062,16,
100041,43.527966,5.44154,17,
100041,43.52663,5.444524,18,
100041,43.52367,5.44266,19,
100041,43.522507,5.442368,20,
100041,43.51976,5.442678,21,
100041,43.518902,5.441479,22,
100041,43.517742,5.439007,23,
100041,43.517159,5.437105,24,
100041,43.515656,5.436278,25,
100041,43.514503,5.438498,26,
100041,43.51384,5.439627,27,
100041,43.513218,5.44167,28,
100041,43.509434,5.440727,29,
100041,43.507038,5.43686,30,
100041,43.504253,5.435232,31,
100041,43.503319,5.43639,32,
100043,43.503319,5.43639,1,
100043,43.504154,5.435382,2,
100043,43.50732,5.43753,3,
100043,43.509483,5.440955,4,
100043,43.513317,5.441579,5,
100043,43.513817,5.439789,6,
100043,43.514732,5.438272,7,
100043,43.515491,5.436843,8,
100043,43.516659,5.435024,9,
100043,43.517075,5.435406,10,
100043,43.517086,5.437229,11,
100043,43.517689,5.439083,12,
100043,43.518921,5.441692,13,
100043,43.519749,5.442779,14,
100043,43.5238,5.44287,15,
100043,43.525642,5.444788,16,
100043,43.527554,5.442679,17,
100043,43.528969,5.439557,18,
100043,43.530128,5.438575,19,
100043,43.532795,5.439538,20,
100043,43.534031,5.443477,21,
100043,43.533733,5.445476,22,
100043,43.534386,5.44647,23,
100043,43.534981,5.445416,24,
100043,43.537418,5.44478,25,
100043,43.539955,5.442566,26,
